Rk,Player,Draft Team,Round,Pick,Draft Year,College,Season,Age,Team,G,GS,AS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%,Pos,Player-additional
1116,Salim Stoudamire,ATL,2,31,2005,Arizona,2005-06,23,ATL,61,1,0,1236,204,492,122,276,82,216,99,110,12,104,116,75,27,3,82,118,589,.415,.442,.380,.900,.545,.498,G,stoudsa01
1117,Chris Taft,GSW,2,42,2005,Pittsburgh,2005-06,20,GSW,17,0,0,144,23,38,23,38,0,0,1,6,19,17,36,2,2,7,2,25,47,.605,.605,,.167,.578,.605,F,taftch01
1118,Dijon Thompson,NYK,2,54,2005,UCLA,2005-06,22,PHO,10,0,0,43,11,25,7,14,4,11,2,2,4,7,11,1,3,1,2,6,28,.440,.500,.364,1.000,.541,.520,G-F,thompdi01
1119,Ronny Turiaf,LAL,2,37,2005,Gonzaga,2005-06,23,LAL,23,1,0,161,15,30,15,30,0,0,15,27,11,26,37,8,3,10,7,30,45,.500,.500,,.556,.537,.500,F,turiaro01
1120,Charlie Villanueva,TOR,1,7,2005,Connecticut,2005-06,21,TOR,81,36,0,2361,435,940,365,726,70,214,113,160,181,340,521,88,60,63,99,247,1053,.463,.503,.327,.706,.521,.500,F,villach01
1121,Von Wafer,LAL,2,39,2005,Florida State,2005-06,20,LAL,16,0,0,73,6,38,4,21,2,17,6,8,5,3,8,4,3,0,1,12,20,.158,.190,.118,.750,.241,.184,G,wafervo01
1122,Hakim Warrick,MEM,1,19,2005,Syracuse,2005-06,23,MEM,68,2,0,724,101,228,101,228,0,0,76,115,43,101,144,30,14,21,56,113,278,.443,.443,,.661,.499,.443,F,warriha01
1123,Martell Webster,POR,1,6,2005,,2005-06,19,POR,61,18,0,1070,139,348,74,166,65,182,61,71,29,101,130,34,21,14,43,90,404,.399,.446,.357,.859,.533,.493,G-F,webstma02
1124,Robert Whaley,UTA,2,51,2005,Walsh,2005-06,23,UTA,23,0,0,212,23,57,23,57,0,0,3,6,16,27,43,17,7,8,14,41,49,.404,.404,,.500,.411,.404,C,whalero01
1125,Deron Williams,UTA,1,3,2005,Illinois,2005-06,21,UTA,80,47,0,2307,339,805,248,586,91,219,95,135,35,159,194,359,60,17,145,233,864,.421,.423,.416,.704,.500,.478,G,willide01
1126,Lou Williams,PHI,2,45,2005,,2005-06,19,PHI,30,0,0,145,23,52,21,43,2,9,8,13,3,16,19,10,5,0,13,13,56,.442,.488,.222,.615,.485,.462,G,willilo02
1127,Marvin Williams,ATL,1,2,2005,North Carolina,2005-06,19,ATL,79,7,0,1952,235,531,222,478,13,53,189,253,122,261,383,63,48,24,83,227,672,.443,.464,.245,.747,.523,.455,F,willima02
1128,Antoine Wright,NJN,1,15,2005,Texas A&M,2005-06,21,NJN,39,0,0,370,29,81,28,66,1,15,11,22,8,22,30,12,4,3,21,42,70,.358,.424,.067,.500,.386,.364,G-F,wrighan01
1129,Bracey Wright,MIN,2,47,2005,Indiana,2005-06,21,MIN,7,0,0,135,21,51,15,34,6,17,14,16,3,15,18,5,1,0,8,8,62,.412,.441,.353,.875,.534,.471,G,wrighbr02
