Rk,Player,Ht,Draft Team,Round,Pick,Draft Year,College,Season,Age,Team,G,GS,AS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%,Pos,Player-additional
14,Rasheer Fleming,6-9,MIN,2,31,2025,Saint Joseph's,2025-26,21,PHO,19,0,0,134,18,52,12,21,6,31,7,9,13,10,23,3,5,5,3,15,49,.346,.571,.194,.778,.438,.404,F,flemira01
15,Derik Queen,6-9,ATL,1,13,2025,Maryland,2025-26,21,NOP,36,24,0,933,180,361,173,326,7,35,106,137,57,195,252,145,37,34,87,114,473,.499,.531,.200,.774,.561,.508,F-C,queende01
16,Will Riley,6-9,UTA,1,21,2025,Illinois,2025-26,19,WAS,28,0,0,353,50,117,40,78,10,39,24,30,21,33,54,35,11,4,20,18,134,.427,.513,.256,.800,.515,.470,F,rileywi01
17,Egor Dёmin,6-8,NJN,1,8,2025,Brigham Young,2025-26,19,BRK,30,23,0,732,104,266,37,86,67,180,23,26,14,85,99,103,27,9,56,57,298,.391,.430,.372,.885,.537,.517,G,demineg01
18,Noa Essengue,6-8,CHI,1,12,2025,,2025-26,19,CHI,2,0,0,6,0,3,0,1,0,2,0,0,0,0,0,0,1,0,0,1,0,.000,.000,.000,,.000,.000,F,essenno01
19,Lachlan Olbrich,6-8,LAL,2,55,2025,,2025-26,22,CHI,5,0,0,36,1,6,1,3,0,3,0,0,3,8,11,3,0,0,2,8,2,.167,.333,.000,,.167,.167,F-C,olbrila01
20,Kobe Sanders,6-8,NYK,2,50,2025,Nevada,2025-26,23,LAC,26,3,0,499,55,123,31,59,24,64,25,28,11,44,55,37,16,3,37,58,159,.447,.525,.375,.893,.587,.545,G,sandeko01
21,Liam McNeeley,6-7,PHO,1,29,2025,Connecticut,2025-26,20,CHO,24,0,0,301,31,79,11,27,20,52,21,25,11,45,56,21,5,2,10,33,103,.392,.407,.385,.840,.572,.519,G-F,mcneeli01
22,Collin Murray-Boyles,6-7,TOR,1,9,2025,South Carolina,2025-26,20,TOR,29,5,0,545,81,155,66,118,15,37,21,37,64,58,122,42,20,15,34,74,198,.523,.559,.405,.568,.578,.571,F,murraco01
23,Micah Peavy,6-7,WAS,2,40,2025,Georgetown,2025-26,24,NOP,31,1,0,460,56,144,44,95,12,49,11,15,27,39,66,29,17,3,10,50,135,.389,.463,.245,.733,.448,.431,G,peavymi01
24,Noah Penda,6-7,BOS,2,32,2025,,2025-26,21,ORL,21,0,0,224,31,67,20,42,11,25,10,17,32,43,75,23,6,6,14,21,83,.463,.476,.440,.588,.557,.545,G-F,pendano01
25,Adou Thiero,6-7,NJN,2,36,2025,Arkansas,2025-26,21,LAL,15,0,0,87,7,18,7,17,0,1,6,8,7,11,18,5,5,1,4,15,20,.389,.412,.000,.750,.465,.389,G-F,thierad01
26,Carter Bryant,6-6,SAS,1,14,2025,Arizona,2025-26,20,SAS,27,0,0,207,22,69,12,31,10,38,6,8,9,34,43,5,4,2,9,22,60,.319,.387,.263,.750,.414,.391,G-F,bryanca01
