Rk,Player,USG%,Draft Team,Round,Pick,Draft Year,College,Season,Age,Team,G,GS,AS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%,Pos,Player-additional
39,Micah Peavy,14.5,WAS,2,40,2025,Georgetown,2025-26,24,NOP,30,1,0,446,54,139,42,90,12,49,11,15,27,38,65,28,16,3,10,50,131,.388,.467,.245,.733,.450,.432,G,peavymi01
40,Liam McNeeley,13.9,PHO,1,29,2025,Connecticut,2025-26,20,CHO,24,0,0,301,31,79,11,27,20,52,21,25,11,45,56,21,5,2,10,33,103,.392,.407,.385,.840,.572,.519,G-F,mcneeli01
41,Joan Beringer,13.8,MIN,1,17,2025,,2025-26,19,MIN,12,0,0,53,8,13,8,13,0,0,2,3,4,13,17,0,1,5,3,9,18,.615,.615,,.667,.628,.615,C,berinjo01
42,Chaz Lanier,13.6,DET,2,37,2025,Tennessee,2025-26,24,DET,14,0,0,136,14,42,2,5,12,37,5,5,6,8,14,10,4,0,1,3,45,.333,.400,.324,1.000,.509,.476,G,laniech01
43,Kasparas Jakučionis,13.4,MIA,1,20,2025,Illinois,2025-26,19,MIA,10,1,0,148,13,39,3,17,10,22,8,8,8,12,20,11,6,0,6,16,44,.333,.176,.455,1.000,.517,.462,G,jakucka01
44,Adou Thiero,12.7,NJN,2,36,2025,Arkansas,2025-26,21,LAL,15,0,0,87,7,18,7,17,0,1,6,8,7,11,18,5,5,1,4,15,20,.389,.412,.000,.750,.465,.389,G-F,thierad01
45,Hugo González,12.1,BOS,1,28,2025,,2025-26,19,BOS,29,1,0,430,50,97,35,58,15,39,6,11,24,68,92,18,22,7,19,58,121,.515,.603,.385,.545,.594,.593,G-F,gonzahu01
46,Ryan Kalkbrenner,10.9,CHA,2,34,2025,Creighton,2025-26,24,CHO,26,25,0,665,96,122,96,120,0,2,34,47,67,100,167,16,18,47,30,48,226,.787,.800,.000,.723,.792,.787,C,kalkbry01
47,Sion James,10.6,CHA,2,33,2025,Duke,2025-26,23,CHO,35,15,0,909,72,177,33,69,39,108,47,55,19,99,118,60,23,14,29,61,230,.407,.478,.361,.855,.572,.517,G,jamessi01
48,Jamir Watkins,9.4,UTA,2,43,2025,Florida State,2025-26,24,WAS,14,2,0,162,14,28,9,11,5,17,8,8,5,29,34,6,4,3,5,26,41,.500,.818,.294,1.000,.650,.589,F-G,watkija01
49,Lachlan Olbrich,9.3,LAL,2,55,2025,,2025-26,22,CHI,5,0,0,36,1,6,1,3,0,3,0,0,3,8,11,3,0,0,2,8,2,.167,.333,.000,,.167,.167,F-C,olbrila01
50,Brooks Barnhizer,8.9,OKC,2,44,2025,Northwestern,2025-26,23,OKC,20,0,0,153,12,26,11,21,1,5,4,6,6,30,36,9,3,2,3,11,29,.462,.524,.200,.667,.506,.481,G,barnhbr01
51,Alijah Martin,5.3,TOR,2,39,2025,Florida,2025-26,24,TOR,3,0,0,8,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,.000,.000,,,.000,.000,G,martial01
52,Amari Williams,4.0,ORL,2,46,2025,Kentucky,2025-26,24,BOS,6,0,0,31,1,2,1,2,0,0,1,2,2,5,7,1,1,2,0,4,3,.500,.500,,.500,.521,.500,F,william01
