Rk,Player,USG%,Draft Team,Round,Pick,Draft Year,College,Season,Age,Team,G,GS,AS,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS▼,FG%,2P%,3P%,FT%,TS%,eFG%,Pos,-9999
32,Ben Saraf,19.5,NJN,1,26,2025,,2025-26,19,BRK,12,5,0,5.3,15.0,3.2,7.0,2.2,8.0,2.9,3.6,1.2,3.4,4.6,8.2,1.9,0.7,5.6,3.6,15.8,.355,.448,.273,.800,.474,.427,G,sarafbe01
33,Javon Small,17.3,MEM,2,48,2025,West Virginia,2025-26,23,MEM,11,0,0,4.6,14.2,1.9,5.0,2.7,9.2,3.1,3.8,0.8,4.2,5.0,12.3,0.4,0.4,3.8,4.2,15.0,.324,.385,.292,.800,.471,.419,G,smallja01
34,Khaman Maluach,16.4,HOU,1,10,2025,Duke,2025-26,19,PHO,16,0,0,5.2,11.6,5.2,9.0,0.0,2.6,4.5,5.2,3.2,7.1,10.3,1.3,0.6,4.5,5.2,9.0,14.9,.444,.571,.000,.875,.534,.444,C,maluakh01
35,Yang Hansen,19.4,MEM,1,16,2025,,2025-26,20,POR,19,1,0,4.7,16.2,3.7,9.3,0.9,6.9,4.0,4.4,2.8,8.1,10.9,4.4,0.3,2.5,4.7,6.9,14.3,.288,.400,.136,.929,.395,.317,C,yangha01
36,Hugo González,12.1,BOS,1,28,2025,,2025-26,19,BOS,29,1,0,5.8,11.3,4.1,6.8,1.7,4.5,0.7,1.3,2.8,7.9,10.7,2.1,2.6,0.8,2.2,6.8,14.1,.515,.603,.385,.545,.594,.593,G-F,gonzahu01
37,Nique Clifford,15.2,OKC,1,24,2025,Colorado State,2025-26,23,SAC,31,3,0,5.3,13.1,3.5,7.2,1.8,5.8,1.7,2.4,1.9,5.6,7.5,3.5,1.6,0.7,2.9,5.5,14.1,.403,.477,.310,.724,.498,.472,G,cliffni01
38,Micah Peavy,14.5,WAS,2,40,2025,Georgetown,2025-26,24,NOP,30,1,0,5.8,14.9,4.5,9.7,1.3,5.3,1.2,1.6,2.9,4.1,7.0,3.0,1.7,0.3,1.1,5.4,14.1,.388,.467,.245,.733,.450,.432,G,peavymi01
39,Carter Bryant,16.5,SAS,1,14,2025,Arizona,2025-26,20,SAS,27,0,0,5.1,16.0,2.8,7.2,2.3,8.8,1.4,1.9,2.1,7.9,9.9,1.2,0.9,0.5,2.1,5.1,13.9,.319,.387,.263,.750,.414,.391,G-F,bryanca01
40,Kasparas Jakučionis,13.4,MIA,1,20,2025,Illinois,2025-26,19,MIA,10,1,0,4.1,12.2,0.9,5.3,3.1,6.9,2.5,2.5,2.5,3.7,6.2,3.4,1.9,0.0,1.9,5.0,13.7,.333,.176,.455,1.000,.517,.462,G,jakucka01
41,Nolan Traoré,15.8,NJN,1,19,2025,,2025-26,19,BRK,12,0,0,4.8,13.2,2.8,7.3,2.0,5.9,2.0,2.5,0.3,2.5,2.8,6.5,1.7,1.1,3.7,5.1,13.5,.362,.385,.333,.778,.471,.436,G,traorno01
42,Jahmai Mashack,19.7,HOU,2,59,2025,Tennessee,2025-26,23,MEM,6,0,0,4.5,15.7,0.0,4.5,4.5,11.2,0.0,0.0,0.0,11.2,11.2,4.5,2.2,0.0,6.7,2.2,13.5,.286,.000,.400,,.429,.429,G,mashaja01
43,Taelon Peter,15.7,IND,2,54,2025,Liberty,2025-26,23,IND,21,0,0,3.9,13.3,0.4,0.8,3.5,12.5,1.6,2.3,2.3,5.1,7.4,5.5,1.2,0.8,3.5,2.7,12.9,.294,.500,.281,.667,.450,.426,G,peterta01
44,Sion James,10.6,CHA,2,33,2025,Duke,2025-26,23,CHO,35,15,0,3.8,9.5,1.8,3.7,2.1,5.8,2.5,2.9,1.0,5.3,6.3,3.2,1.2,0.7,1.5,3.3,12.3,.407,.478,.361,.855,.572,.517,G,jamessi01
45,Johni Broome,24.8,PHI,2,35,2025,Auburn,2025-26,23,PHI,7,0,0,4.8,24.1,4.8,20.5,0.0,3.6,2.4,4.8,7.2,8.4,15.6,4.8,2.4,0.0,2.4,6.0,12.0,.200,.235,.000,.500,.230,.200,F-C,broomjo01
46,Jamir Watkins,9.4,UTA,2,43,2025,Florida State,2025-26,24,WAS,14,2,0,4.1,8.2,2.6,3.2,1.5,5.0,2.3,2.3,1.5,8.5,10.0,1.8,1.2,0.9,1.5,7.6,12.0,.500,.818,.294,1.000,.650,.589,F-G,watkija01
47,Adou Thiero,12.7,NJN,2,36,2025,Arkansas,2025-26,21,LAL,15,0,0,3.9,10.0,3.9,9.5,0.0,0.6,3.3,4.5,3.9,6.1,10.0,2.8,2.8,0.6,2.2,8.3,11.1,.389,.412,.000,.750,.465,.389,G-F,thierad01
48,Brooks Barnhizer,8.9,OKC,2,44,2025,Northwestern,2025-26,23,OKC,20,0,0,3.8,8.1,3.4,6.6,0.3,1.6,1.3,1.9,1.9,9.4,11.3,2.8,0.9,0.6,0.9,3.4,9.1,.462,.524,.200,.667,.506,.481,G,barnhbr01
49,Amari Williams,4.0,ORL,2,46,2025,Kentucky,2025-26,24,BOS,6,0,0,1.6,3.2,1.6,3.2,0.0,0.0,1.6,3.2,3.2,8.1,11.3,1.6,1.6,3.2,0.0,6.5,4.8,.500,.500,,.500,.521,.500,F,william01
50,Lachlan Olbrich,9.3,LAL,2,55,2025,,2025-26,22,CHI,5,0,0,1.3,7.8,1.3,3.9,0.0,3.9,0.0,0.0,3.9,10.4,14.3,3.9,0.0,0.0,2.6,10.4,2.6,.167,.333,.000,,.167,.167,F-C,olbrila01
51,Noa Essengue,20.9,CHI,1,12,2025,,2025-26,19,CHI,2,0,0,0.0,23.4,0.0,7.8,0.0,15.6,0.0,0.0,0.0,0.0,0.0,0.0,7.8,0.0,0.0,7.8,0.0,.000,.000,.000,,.000,.000,F,essenno01
52,Alijah Martin,5.3,TOR,2,39,2025,Florida,2025-26,24,TOR,3,0,0,0.0,6.1,0.0,6.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.1,0.0,0.0,0.0,0.0,.000,.000,,,.000,.000,G,martial01
