player_id,player,draft_year,rookie_season,age,height_in,weight_lbs,position,games,minutes,mpg,usg_pct,pts,reb,ast,stl,blk,tov,fga,fgm,fg_pct,fg3a,fg3m,fg3_pct,fta,ftm,ft_pct,ftr,off_rating,def_rating,net_rating,pace,bpm,vorp
203462,Archie Goodwin,2013,2014,,77.0,205.0,Guard,52,532.88,10.247692307692308,,194,87,20,20,11,44,167,76,0.455,36,5,0.139,55,37,0.673,0.32934131736526945,,,,,,
203489,Nate Wolters,2013,2014,,76.0,190.0,Guard,58,1309.3583333333333,22.57514367816092,,417,149,187,35,15,57,389,170,0.437,62,18,0.29,90,59,0.656,0.23136246786632392,,,,,,
203527,Ryan Kelly,2013,2014,,83.0,230.0,Forward,59,1311.8666666666666,22.235028248587568,,472,219,95,32,45,47,371,157,0.423,142,48,0.338,135,110,0.815,0.3638814016172507,,,,,,
203952,Andrew Wiggins,2014,2015,,78.0,197.0,Forward,82,2968.7966666666666,36.20483739837398,,1387,374,170,86,50,177,1137,497,0.437,126,39,0.31,466,354,0.76,0.4098504837291117,,,,,,
203957,Dante Exum,2014,2015,,77.0,214.0,Guard,82,1817.05,22.159146341463416,,393,131,198,41,14,118,416,145,0.349,264,83,0.314,32,20,0.625,0.07692307692307693,,,,,,
203935,Marcus Smart,2014,2015,,75.0,220.0,Guard,67,1808.2266666666667,26.988457711442788,,523,222,208,99,18,90,477,175,0.367,272,91,0.335,127,82,0.646,0.2662473794549266,,,,,,
203901,Elfrid Payton,2014,2015,,75.0,195.0,Guard,82,2488.6666666666665,30.349593495934958,,731,349,533,142,20,203,708,301,0.425,42,11,0.262,214,118,0.551,0.3022598870056497,,,,,,
203897,Zach LaVine,2014,2015,,77.0,200.0,Guard,77,1901.7216666666666,24.69768398268398,,778,214,276,54,10,193,677,286,0.422,167,57,0.341,177,149,0.842,0.2614475627769572,,,,,,
203933,T.J. Warren,2014,2015,,80.0,220.0,Forward,40,614.13,15.35325,,245,85,25,18,9,27,214,113,0.528,21,5,0.238,19,14,0.737,0.08878504672897196,,,,,,
203940,Adreian Payne,2014,2015,,82.0,237.0,Forward,32,739.6383333333333,23.113697916666666,,213,162,30,19,9,44,220,91,0.414,9,1,0.111,46,30,0.652,0.20909090909090908,,,,,,
203994,Jusuf Nurkić,2014,2015,,83.0,290.0,Center,62,1103.2583333333334,17.79448924731183,,426,382,50,52,68,86,383,171,0.446,2,0,0.0,132,84,0.636,0.34464751958224543,,,,,,
203898,Tyler Ennis,2014,2015,,75.0,194.0,Guard,33,411.42333333333335,12.467373737373737,,121,35,73,18,5,42,144,52,0.361,43,12,0.279,7,5,0.714,0.04861111111111111,,,,,,
203894,Shabazz Napier,2014,2015,,72.0,175.0,Guard,51,1011.58,19.834901960784315,,261,113,130,40,4,81,228,87,0.382,118,43,0.364,56,44,0.786,0.24561403508771928,,,,,,
203937,Kyle Anderson,2014,2015,,80.0,230.0,Forward-Guard,33,358.08,10.85090909090909,,74,72,28,15,7,10,89,31,0.348,11,3,0.273,14,9,0.643,0.15730337078651685,,,,,,
203909,K.J. McDaniels,2014,2015,,78.0,205.0,Guard-Forward,62,1351.895,21.80475806451613,,487,200,72,44,70,105,434,172,0.396,150,43,0.287,133,100,0.752,0.3064516129032258,,,,,,
203924,Jerami Grant,2014,2015,,79.0,213.0,Forward,65,1376.5483333333334,21.177666666666667,,411,198,79,40,68,85,352,124,0.352,156,49,0.314,193,114,0.591,0.5482954545454546,,,,,,
203900,Markel Brown,2014,2015,,75.0,190.0,Guard,47,781.4166666666666,16.625886524822693,,216,107,39,31,12,27,210,76,0.362,64,17,0.266,57,47,0.825,0.2714285714285714,,,,,,
203903,Jordan Clarkson,2014,2015,,77.0,194.0,Guard,59,1475.8233333333333,25.013954802259885,,703,191,206,51,12,96,596,267,0.448,121,38,0.314,158,131,0.829,0.2651006711409396,,,,,,
1626157,Karl-Anthony Towns,2015,2016,,84.0,248.0,Center-Forward,82,2626.485,32.03030487804878,,1503,858,161,58,138,183,1153,625,0.542,88,30,0.341,275,223,0.811,0.23850823937554205,,,,,,
1626156,D'Angelo Russell,2015,2016,,75.0,193.0,Guard,80,2259.08,28.2385,,1054,274,266,93,13,196,956,392,0.41,370,130,0.351,190,140,0.737,0.19874476987447698,,,,,,
1626143,Jahlil Okafor,2015,2016,,82.0,270.0,Center-Forward,53,1590.565,30.01066037735849,,928,373,65,22,61,124,781,397,0.508,6,1,0.167,194,133,0.686,0.24839948783610755,,,,,,
204001,Kristaps Porziņģis,2015,2016,,86.0,240.0,Forward-Center,72,2046.4616666666666,28.423078703703702,,1028,526,94,53,134,121,886,373,0.421,243,81,0.333,240,201,0.838,0.2708803611738149,,,,,,
1626209,Mario Hezonja,2015,2016,,80.0,220.0,Forward-Guard,79,1412.8533333333332,17.8842194092827,,478,176,109,39,17,97,418,181,0.433,192,67,0.349,54,49,0.907,0.1291866028708134,,,,,,
1626161,Willie Cauley-Stein,2015,2016,,84.0,240.0,Center,66,1411.545,21.387045454545454,,463,352,37,47,66,46,339,191,0.563,2,0,0.0,125,81,0.648,0.3687315634218289,,,,,,
1626144,Emmanuel Mudiay,2015,2016,,75.0,200.0,Guard,68,2067.8866666666668,30.410098039215686,,872,232,372,65,35,217,905,329,0.364,232,74,0.319,209,140,0.67,0.23093922651933702,,,,,,
1626169,Stanley Johnson,2015,2016,,78.0,242.0,Forward-Guard,73,1687.0716666666667,23.11057077625571,,593,306,118,55,12,114,600,225,0.375,205,63,0.307,102,80,0.784,0.17,,,,,,
1626163,Frank Kaminsky,2015,2016,,84.0,240.0,Forward-Center,81,1707.5733333333333,21.081152263374484,,606,335,98,38,43,58,525,215,0.41,202,68,0.337,148,108,0.73,0.2819047619047619,,,,,,
1626159,Justise Winslow,2015,2016,,78.0,222.0,Forward-Guard,78,2232.135,28.61711538461539,,502,403,118,68,26,95,462,195,0.422,116,32,0.276,117,80,0.684,0.2532467532467532,,,,,,
1626167,Myles Turner,2015,2016,,83.0,250.0,Center-Forward,60,1367.185,22.786416666666664,,619,332,41,25,86,67,530,264,0.498,14,3,0.214,121,88,0.727,0.22830188679245284,,,,,,
1626168,Trey Lyles,2015,2016,,81.0,234.0,Forward,80,1382.3933333333334,17.27991666666667,,488,299,59,26,18,65,436,191,0.438,128,49,0.383,82,57,0.695,0.18807339449541285,,,,,,
1626164,Devin Booker,2015,2016,,77.0,206.0,Guard,76,2107.665,27.732434210526314,,1048,187,200,44,20,160,867,367,0.423,289,99,0.343,256,215,0.84,0.2952710495963091,,,,,,
1626166,Cameron Payne,2015,2016,,75.0,183.0,Guard,57,697.6133333333333,12.238830409356725,,283,85,108,36,6,44,278,114,0.41,111,36,0.324,24,19,0.792,0.08633093525179857,,,,,,
1626179,Terry Rozier,2015,2016,,73.0,190.0,Guard,39,311.325,7.982692307692307,,72,63,37,6,1,19,106,29,0.274,27,6,0.222,10,8,0.8,0.09433962264150944,,,,,,
1626173,Rashad Vaughn,2015,2016,,78.0,202.0,Guard,70,1000.6933333333334,14.295619047619049,,217,88,39,29,16,28,266,81,0.305,147,43,0.293,15,12,0.8,0.05639097744360902,,,,,,
1626170,Jerian Grant,2015,2016,,76.0,198.0,Guard,76,1264.7733333333333,16.641754385964912,,426,143,177,50,10,87,391,154,0.394,100,22,0.22,123,96,0.78,0.3145780051150895,,,,,,
1626147,Justin Anderson,2015,2016,,77.0,231.0,Forward-Guard,55,646.8766666666667,11.761393939393939,,208,132,29,19,25,24,175,71,0.406,83,22,0.265,55,44,0.8,0.3142857142857143,,,,,,
1626171,Bobby Portis,2015,2016,,81.0,250.0,Forward,62,1102.08,17.77548387096774,,436,337,52,25,22,54,436,186,0.427,52,16,0.308,66,48,0.727,0.15137614678899083,,,,,,
1626145,Tyus Jones,2015,2016,,72.0,196.0,Guard,37,572.72,15.47891891891892,,156,47,108,31,3,33,156,56,0.359,53,16,0.302,39,28,0.718,0.25,,,,,,
1626185,Jarell Martin,2015,2016,,82.0,239.0,Forward,27,379.54,14.057037037037038,,153,86,15,8,7,19,116,54,0.466,2,0,0.0,62,45,0.726,0.5344827586206896,,,,,,
1626149,Montrezl Harrell,2015,2016,,79.0,240.0,Forward-Center,39,378.6116666666667,9.707991452991454,,140,65,17,11,11,17,90,58,0.644,1,0,0.0,46,24,0.522,0.5111111111111111,,,,,,
1626158,Richaun Holmes,2015,2016,,81.0,235.0,Forward,51,702.0016666666667,13.764738562091503,,287,135,33,19,40,32,222,114,0.514,44,8,0.182,74,51,0.689,0.3333333333333333,,,,,,
1626199,Darrun Hilliard,2015,2016,,78.0,220.0,Guard,38,383.01666666666665,10.07938596491228,,152,45,27,9,1,19,131,52,0.397,50,19,0.38,40,29,0.725,0.3053435114503817,,,,,,
201977,Marcus Thornton,2015,2016,,76.0,205.0,Guard-Forward,61,1108.0783333333334,18.165218579234974,,590,150,84,47,4,51,542,216,0.399,270,91,0.337,79,67,0.848,0.14575645756457564,,,,,,
1627742,Brandon Ingram,2016,2017,,80.0,190.0,Forward,79,2279.2616666666668,28.851413502109708,,740,316,166,50,36,116,686,276,0.402,187,55,0.294,214,133,0.621,0.3119533527696793,,,,,,
1627759,Jaylen Brown,2016,2017,,78.0,223.0,Guard-Forward,78,1341.3266666666666,17.196495726495726,,515,220,64,35,18,68,422,192,0.455,134,46,0.343,124,85,0.685,0.2938388625592417,,,,,,
