HEIGHT_IN,players,minutes,season
87.0,1,27.6,2016
88.0,1,293.27,2016
69.0,2,1001.2216666666666,2017
70.0,2,3261.7233333333334,2017
71.0,4,3528.086666666667,2017
72.0,18,22243.24166666667,2017
73.0,15,14522.176666666666,2017
74.0,24,26291.361666666668,2017
75.0,41,48398.22666666667,2017
76.0,41,46294.698333333334,2017
77.0,58,63691.05,2017
78.0,60,70663.31,2017
79.0,53,51734.89,2017
80.0,53,67510.73,2017
81.0,53,51845.22666666667,2017
82.0,52,44160.645,2017
83.0,27,38792.33666666666,2017
84.0,26,29098.946666666667,2017
85.0,8,8192.333333333334,2017
86.0,2,2281.925,2017
88.0,1,337.87,2017
69.0,1,180.78,2018
70.0,2,752.6366666666667,2018
71.0,3,2736.9733333333334,2018
72.0,17,20340.506666666668,2018
73.0,15,17296.171666666665,2018
74.0,23,34743.07666666667,2018
75.0,44,49745.03833333333,2018
76.0,44,45432.62666666666,2018
77.0,61,65553.05666666667,2018
78.0,59,73515.56666666667,2018
79.0,51,52891.795,2018
80.0,56,69248.04666666666,2018
81.0,46,44034.471666666665,2018
82.0,47,44748.85,2018
83.0,25,34260.10333333333,2018
84.0,28,28919.465,2018
85.0,6,8971.05,2018
86.0,1,399.12666666666667,2018
88.0,1,680.6583333333333,2018
69.0,2,1215.1983333333333,2019
70.0,3,576.2066666666667,2019
71.0,5,2880.286666666667,2019
72.0,17,17064.443333333333,2019
73.0,16,18532.68833333333,2019
74.0,27,26407.395,2019
75.0,40,37017.863333333335,2019
76.0,42,43422.70333333333,2019
77.0,65,61219.331666666665,2019
78.0,62,63540.825,2019
79.0,50,58022.041666666664,2019
80.0,55,55827.035,2019
81.0,46,38259.238333333335,2019
82.0,46,35403.26,2019
83.0,21,21850.053333333333,2019
84.0,21,20848.673333333332,2019
85.0,6,7594.7699999999995,2019
86.0,2,1846.62,2019
87.0,1,86.93833333333333,2019
88.0,1,421.89166666666665,2019
90.0,1,32.53666666666667,2019
69.0,1,48.266666666666666,2020
70.0,4,1883.8033333333333,2020
71.0,5,2654.1116666666667,2020
72.0,13,12855.851666666667,2020
73.0,20,20271.573333333334,2020
74.0,30,34340.198333333334,2020
75.0,39,32268.99,2020
76.0,45,50884.765,2020
77.0,63,59358.433333333334,2020
78.0,63,69018.61166666666,2020
79.0,57,55017.92833333334,2020
80.0,58,59913.35,2020
81.0,42,38440.568333333336,2020
82.0,46,32607.933333333334,2020
83.0,23,21513.086666666666,2020
84.0,20,20496.033333333333,2020
85.0,6,7113.213333333333,2020
86.0,2,2246.758333333333,2020
87.0,1,159.65666666666667,2020
88.0,1,271.3183333333333,2020
90.0,1,135.54833333333335,2020
69.0,1,333.3066666666667,2021
70.0,4,1453.7083333333333,2021
71.0,6,2821.1566666666668,2021
72.0,19,16861.96,2021
73.0,22,20555.258333333335,2021
74.0,34,42670.14166666667,2021
75.0,38,29381.361666666668,2021
76.0,58,59829.683333333334,2021
77.0,88,83678.29333333333,2021
78.0,68,68059.63833333334,2021
79.0,57,65124.67166666667,2021
80.0,69,67192.75666666667,2021
81.0,45,41921.846666666665,2021
82.0,39,34950.38,2021
83.0,24,27399.911666666667,2021
84.0,20,24212.681666666667,2021
85.0,7,5039.638333333333,2021
86.0,2,1824.9433333333334,2021
87.0,1,80.84,2021
88.0,1,127.94333333333333,2021
90.0,1,58.78333333333333,2021
